addr;value;hex;signed;name;interp
154;17000;0x4268;17000;TOU Power Slot 1;17000 W
155;17000;0x4268;17000;TOU Power Slot 2;17000 W
156;17000;0x4268;17000;TOU Power Slot 3;17000 W
157;17000;0x4268;17000;TOU Power Slot 4;17000 W
158;17000;0x4268;17000;TOU Power Slot 5;17000 W
159;17000;0x4268;17000;TOU Power Slot 6;17000 W
166;13;0xD;13;TOU SOC Slot 1;13%
167;13;0xD;13;TOU SOC Slot 2;13%
168;13;0xD;13;TOU SOC Slot 3;13%
169;13;0xD;13;TOU SOC Slot 4;13%
170;13;0xD;13;TOU SOC Slot 5;13%
171;13;0xD;13;TOU SOC Slot 6;13%
